Player	 Earnings 	Events	Rds.	Cuts  Made	Rds. In 60s	Rds Under Par	Birdies	Scoring Avg.	Driving Distance	Fairways	Greens	Putts	Sand Saves
Kevin Sutherland	"$455,860"	27	85	17	30	45	3.29	70.6	265.6	9.45	12	1.787	63.8%
Hal Sutton	"$453,928"	29	96	18	32	50	3.73	70.7	270.9	10.59	12.77	1.802	49.7%
Phil Tataurangi	"$256,930"	27	76	12	25	36	3.28	71.88	263.9	9.24	11.16	1.781	46.6%
Tommy Tolles	"$825,793"	25	89	22	33	46	3.83	70.36	275	8.54	11.37	1.756	56.4%
David Toms	"$460,355"	27	88	17	30	44	3.63	70.96	272.3	8.75	11.31	1.761	57.4%
Kirk Triplett	"$541,023"	26	88	19	31	49	3.68	70.56	263.7	10.42	12.24	1.775	56.9%
Ted Tryba	"$303,399"	35	103	18	26	51	3.23	71.57	274.4	9.23	11.64	1.807	53.8%
Bob Tway	"$507,523"	26	93	21	35	52	3.49	70.1	270.3	9.48	12.34	1.775	53.1%
Omar Uresti	"$203,516"	32	101	18	27	48	3.18	71.55	256.4	9.83	11.63	1.798	50.9%
Grant Waite	"$362,320"	31	102	22	33	48	3.29	71.03	278.6	9.89	12.27	1.82	51.1%
Duffy Waldorf	"$458,074"	26	89	20	24	44	3.4	71.04	279	9.63	12.25	1.794	43.2%
Tom Watson	"$479,146"	16	52	12	17	28	3.81	70.14	266.5	9.23	11.27	1.78	50.0%
Mark Wiebe	"$285,139"	25	77	14	26	36	3.47	71.56	267.5	9.52	11.3	1.779	42.4%
Willie Wood	"$190,283"	27	86	17	19	35	3.12	71.48	258.8	9.45	11.06	1.774	62.6%
Tiger Woods	"$2,066,833"	21	81	20	35	48	4.25	69.12	294.8	9.12	12.04	1.776	44.0%
